"CATEGORY","DIFFICULTY","POINTS","SIZE"
"14","1","336.4844461719093","41.0"
"15","1","910.9700859776082","111.0"
"16","1","188.7595673647296","23.0"
"17","1","1337.7308469761272","163.0"
"18","1","1206.4198435919675","147.0"
"19","1","246.2081313452995","30.0"
"20","1","451.38157413304907","55.0"
"21","1","533.450951248149","65.0"
"22","1","65.65550169207987","8.0"
"25","1","49.2416262690599","6.0"
"26","1","147.7248788071797","18.0"
"14","2","935.2160581416153","74.0"
"15","2","3614.483684168946","286.0"
"16","2","581.3505226285718","46.0"
"17","2","4296.93864551553","340.0"
"18","2","3955.711164842238","313.0"
"19","2","593.9885774683233","47.0"
"20","2","909.9399484621123","72.0"
"21","2","1832.517951763976","145.0"
"22","2","556.0744129490686","44.0"
"25","2","341.2274806732921","27.0"
"26","2","113.74249355776404","9.0"
"14","3","3540.6954641241414","212.0"
"15","3","15816.219832667744","947.0"
"16","3","3089.757834259274","185.0"
"17","3","16634.588123903985","996.0"
"18","3","18037.505194594683","1080.0"
"19","3","3173.2648027527684","190.0"
"20","3","4475.9735112512735","268.0"
"21","3","9386.183258668714","562.0"
"22","3","2956.146684669684","177.0"
"25","3","2070.9728186386487","124.0"
"26","3","835.069684934939","50.0"
"14","4","3038.9576887005337","148.0"
"15","4","13285.173139116523","647.0"
"16","4","1848.0148106962706","90.0"
"17","4","14866.252477156666","724.0"
"18","4","17166.004241578692","836.0"
"19","4","2443.486249698402","119.0"
"20","4","2833.6227097342817","138.0"
"21","4","8726.736606065722","425.0"
"22","4","2238.15127073215","109.0"
"25","4","1909.6153043861461","93.0"
"26","4","472.2704516223802","23.0"
"14","5","4308.247022627951","178.0"
"15","5","18612.595283151095","769.0"
"16","5","992.3490333019439","41.0"
"17","5","17087.7662807603","706.0"
"18","5","18927.242537612685","782.0"
"19","5","3824.1743234562714","158.0"
"20","5","2638.1962104856557","109.0"
"21","5","11157.875715907223","461.0"
"22","5","3412.712529160344","141.0"
"25","5","2831.825290154328","117.0"
"26","5","798.7199536332719","33.0"
"14","6","5272.783277496883","190.0"
"15","6","23672.021766867583","853.0"
"16","6","2941.6580390245767","106.0"
"17","6","20591.606273172038","742.0"
"18","6","23810.779221538556","858.0"
"19","6","4606.7474950762235","166.0"
"20","6","5134.025822825912","185.0"
"21","6","13292.964157478984","479.0"
"22","6","4773.256440681389","172.0"
"25","6","4245.978112931701","153.0"
"26","6","888.0477098942118","32.0"
"14","7","11513.650130506232","369.0"
"15","7","52575.882032257454","1685.0"
"16","7","5460.403178424364","175.0"
"17","7","39221.29597302529","1257.0"
"18","7","47427.501892600194","1520.0"
"19","7","9391.893466889907","301.0"
"20","7","7363.743714903714","236.0"
"21","7","29423.77255573815","943.0"
"22","7","11014.413268478862","353.0"
"25","7","9454.298074643328","303.0"
"26","7","1934.5428403560607","62.0"
"14","8","5255.148682110637","152.0"
"15","8","30631.98508125016","886.0"
"16","8","3491.908005876147","101.0"
"17","8","21262.60815459238","615.0"
"18","8","29940.518149393498","866.0"
"19","8","4148.801591139977","120.0"
"20","8","2973.30780698365","86.0"
"21","8","16560.633017967073","479.0"
"22","8","5912.042267374467","171.0"
"25","8","5220.575335517804","151.0"
"26","8","1313.7871705276593","38.0"
"14","9","18181.00276735783","480.0"
"15","9","52649.153847140384","1390.0"
"16","9","6060.334255785943","160.0"
"17","9","29619.8836751538","782.0"
"18","9","34203.01145609192","903.0"
"19","9","6855.753126857849","181.0"
"20","9","9204.132650974901","243.0"
"21","9","30945.581793606972","817.0"
"22","9","7802.680354324402","206.0"
"25","9","9052.624294580253","239.0"
"26","9","1098.4355838612023","29.0"
